,,AUPRC,AUPRC,AUROC,AUROC,Brier,Brier,ECE@10,ECE@10,Precision@10,Precision@10,Precision@20,Precision@20,Precision@50,Precision@50
split_run,,cold,warm,cold,warm,cold,warm,cold,warm,cold,warm,cold,warm,cold,warm
model,split,,,,,,,,,,,,,,
B0_ppmi,test,0.4269656009652463,0.3255215379654295,0.3373247176745301,0.1305781988900086,0.4389235922878523,0.4106261222776333,0.3125949399996165,0.431670619165445,0.6,0.0,0.65,0.0,0.62,0.0
B0_ppmi,val,0.4010947486768508,0.3235664810033893,0.2565299580069965,0.1282025612724667,0.4383492156549219,0.414099813803749,0.3961873079156807,0.4377668060806858,0.6,0.0,0.5,0.05,0.56,0.02
B1_rule_presence,test,0.4938892026173589,0.5001790814499169,0.5,0.5,0.4938892026173589,0.5001790814499169,0.4938892026173589,0.5001790814499169,1.0,0.6,1.0,0.55,1.0,0.52
B1_rule_presence,val,0.5208787821303235,0.4984158324915052,0.5,0.5,0.5208787821303235,0.4984158324915052,0.5208787821303235,0.4984158324915052,1.0,0.7,1.0,0.6,1.0,0.5
B2_logreg,test,0.6791684281891934,0.9556655227657972,0.6611047579895523,0.9579030305682148,0.3810026357995946,0.0815240723890486,0.3739744732883357,0.0744044641944179,1.0,1.0,1.0,0.95,0.98,0.98
B2_logreg,val,0.7470369718180521,0.955255240447956,0.7413374044488501,0.9578049470519544,0.3940265612193256,0.0806461960922614,0.3947751083477628,0.071880213446857,1.0,1.0,0.95,1.0,0.96,1.0
B2_xgboost,test,0.5803021180777315,0.9701576683007578,0.5738374670482109,0.972413795214849,0.4257985613303542,0.0614327150620911,0.4195844293293896,0.0159059324837211,1.0,1.0,0.95,1.0,0.9,1.0
B2_xgboost,val,0.6268002383259383,0.9695943981619212,0.6104710350663244,0.9719829575034646,0.4486318723519659,0.0614248023593934,0.4464461905128012,0.0144740232418235,1.0,1.0,0.95,1.0,0.94,1.0
B3_distmult,test,0.509480389716396,0.9512146226857074,0.494079227595059,0.9491924008448543,0.250408325359816,0.1709128655063074,0.0149960581261814,0.2126811863958445,1.0,1.0,0.9,1.0,0.86,1.0
B3_distmult,val,0.5579951778303611,0.9719503608820677,0.4732301954033509,0.9740693658581112,0.2503911639455145,0.1356384459680655,0.0260857419373809,0.2039867784495753,0.699999988079071,1.0,0.6499999761581421,1.0,0.7400000095367432,1.0
B3_rotate,test,0.6819497001909001,0.8751338711844137,0.7009164650952602,0.9229657514707492,0.2681318667440933,0.1804436953880171,0.2184206577012856,0.2154197861100509,1.0,0.6,0.9,0.55,0.86,0.5
B3_rotate,val,0.7383170578380883,0.8782432410234746,0.7537866133691106,0.9255775538356134,0.2423411911494815,0.1782114267285258,0.1871607653796849,0.2123905190819868,1.0,0.8999999761581421,0.949999988079071,0.699999988079071,0.9399999976158142,0.7200000286102295
MHD_v2,test,0.7220053473246663,0.9629989996526448,0.7391867259757878,0.9631573540572388,0.2543420853384242,0.1129515021086813,0.201194580049134,0.1402348164886353,0.9,1.0,0.95,1.0,0.98,1.0
MHD_v2,val,0.7692916848377913,0.9631025919766656,0.7753584792793324,0.9633767081909722,0.2547576555056392,0.1126507353782689,0.2248291671742505,0.1395231012066106,1.0,1.0,1.0,1.0,0.98,1.0
MHD_v3,test,0.6310134619207759,0.9571945545467992,0.6801132535521569,0.9687666871151074,0.2499530756944392,0.0933640200994962,0.0032686591148376,0.1744799169879175,0.9,1.0,0.85,0.95,0.86,0.96
MHD_v3,val,0.6942550012179354,0.9578894020948598,0.7219050521086302,0.9692203803223042,0.250171439516154,0.0931814750190006,0.0250348150730133,0.1749439659617469,1.0,1.0,0.9,1.0,0.7,0.98
MHD_v4,test,0.7267803639355221,0.9788296808985656,0.7442784142069412,0.9823014469790736,0.2256573089131126,0.0472933077859149,0.1317171887170656,0.0613779925225743,1.0,1.0,0.95,1.0,0.94,1.0
MHD_v4,val,0.7773518268239847,0.9786845196593504,0.7788307653161167,0.9817640119622788,0.2242943842239659,0.0476154840124603,0.1601226682169891,0.0610753281045572,1.0,1.0,1.0,1.0,1.0,1.0
