AUROC,AUPRC,Brier,ECE@10,Precision@10,Precision@20,Precision@50,model,split
0.5,0.520878782,0.520878782,0.520878782,1,1,1,B1_rule_presence,val
0.5,0.493889203,0.493889203,0.493889203,1,1,1,B1_rule_presence,test
0.256529958,0.401094749,0.438349216,0.396187308,0.6,0.5,0.56,B0_ppmi,val
0.337324718,0.426965601,0.438923592,0.31259494,0.6,0.65,0.62,B0_ppmi,test
0.741337404,0.747036972,0.394026561,0.394775108,1,0.95,0.96,B2_logreg,val
0.661104758,0.679168428,0.381002636,0.373974473,1,1,0.98,B2_logreg,test
0.610471035,0.626800238,0.448631872,0.446446191,1,0.95,0.94,B2_xgboost,val
0.573837467,0.580302118,0.425798561,0.419584429,1,0.95,0.9,B2_xgboost,test
0.473230195,0.557995178,0.250391164,0.026085742,0.699999988,0.649999976,0.74000001,B3_distmult,val
0.494079228,0.50948039,0.250408325,0.014996058,1,0.9,0.86,B3_distmult,test
0.753786613,0.738317058,0.242341191,0.187160765,1,0.949999988,0.939999998,B3_rotate,val
0.700916465,0.6819497,0.268131867,0.218420658,1,0.9,0.86,B3_rotate,test
